12/12/2025 17:49:48	System Memory	Sin procesar	Objeto no procesado		Omitido	Archivo		System Memory	Sin procesar				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\8570228345cd36ccfb79.webp	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	8570228345cd36ccfb79.webp	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\8570228345cd36ccfb79.webp	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	8570228345cd36ccfb79.webp	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\73201088d910bc270636.png	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	73201088d910bc270636.png	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\73201088d910bc270636.png	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//	73201088d910bc270636.png	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\manifest.json	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images	manifest.json	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\manifest.json	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images	manifest.json	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\bh3_global\icon_en-us.png	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images/bh3_global	icon_en-us.png	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\bh3_global\icon_en-us.png	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images/bh3_global	icon_en-us.png	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\bh3_global\logo_en-us.png	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images/bh3_global	logo_en-us.png	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
Hoy, 29/12/2025 12:00:03	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat\images\bh3_global\logo_en-us.png	Con protección con contraseña	Detección de archivo de almacenamiento protegido con contraseña			Archivo	C:\Program Files\HoYoPlay\1.12.0.303\resources\feapp.dat//images/bh3_global	logo_en-us.png	Con protección con contraseña				LAPTOP-04F40974\User	Iniciador
